email,subject,message
maka@yahoo.com,file test,to be stored in the created csv file.chck@gh.com,csv storage,storing data in a csv file
Folami25@gmail.com,gergregre,jnlhiuohjoi
Folami25@gmail.com,gergregre,jnlhiuohjoi
Folami25@gmail.com,gergregre,jnlhiuohjoi
Folami25@gmail.com,now it works!,oiulm
mi@f.cb,sefe,few
mi@f.cb,sefe,few
mi@f.cb,sefe,few
Folami25@gmail.com,doslgs,".,"
Folami25@gmail.com,sefe,segtfytthzccvs
Folami25@gmail.com,sefe,segtfytthzccvs
Folami25@gmail.com,sefe,segtfytthzccvs
Folami25@gmail.com,sefe,segtfytthzccvs
Folami25@gmail.com,sefe,segtfytthzccvs
